ticker,category,period_index,as_of_date,composite_score,dcf_score,relative_score,recommendation,forward_return_pct
GEF,Materials (S&P 400),0,2023-10-01,80.5,90.8,38.9,Buy,-1.0492942219568213
WMG,Communication Services (S&P 400),1,2023-12-30,-62.6,-61.7,-66.4,Sell,-7.297513568348511
UGI,Utilities (S&P 400),1,2023-12-30,78.9,93.9,19.0,Buy,1.2479761564325091
POST,Consumer Staples (S&P 400),1,2023-12-30,67.2,100.0,-63.8,Buy,20.69044029734366
GEF,Materials (S&P 400),1,2023-12-30,80.8,91.0,40.2,Buy,6.143446871462175
APD,Materials (S&P 500),1,2023-12-30,-24.4,-27.6,-11.5,Sell,-10.866727005223142
COST,Consumer Staples (S&P 500),1,2023-12-30,-37.9,-45.4,-8.1,Sell,11.15424968938815
MTN,Consumer Discretionary (S&P 400),1,2023-12-30,80.7,95.5,21.5,Buy,5.45504556696258
MMS,Industrials (S&P 400),1,2023-12-30,-20.7,-15.7,-40.6,Sell,0.4181998677192856
AAPL,Information Technology (S&P 500),1,2023-12-30,-42.6,-42.7,-42.3,Sell,-10.819715266006561
SWKS,Information Technology (S&P 500),1,2023-12-30,-52.7,-51.3,-58.2,Sell,-3.0223771900297938
AZO,Consumer Discretionary (S&P 500),1,2023-12-30,44.7,51.1,19.4,Buy,21.891923817016487
CBT,Materials (S&P 400),1,2023-12-30,3.7,-7.8,49.5,Hold,10.959974310820677
TEL,Information Technology (S&P 500),1,2023-12-30,-42.0,-47.0,-22.0,Sell,3.8025820097590617
TOL,Consumer Discretionary (S&P 400),2,2024-03-29,-3.4,17.3,-86.2,Hold,-10.813508747678402
WMG,Communication Services (S&P 400),2,2024-03-29,-59.2,-59.5,-58.1,Sell,-6.646396177740281
UGI,Utilities (S&P 400),2,2024-03-29,78.5,93.7,17.7,Buy,-5.970876559705948
POST,Consumer Staples (S&P 400),2,2024-03-29,65.2,100.0,-73.9,Buy,-2.314639737229522
GEF,Materials (S&P 400),2,2024-03-29,-23.3,-19.5,-38.4,Sell,-13.658120714743655
AMAT,Information Technology (S&P 500),2,2024-03-29,-63.9,-54.9,-100.0,Sell,12.958324923367131
HRL,Consumer Staples (S&P 500),2,2024-03-29,66.3,72.0,43.5,Buy,-12.67786235665255
APD,Materials (S&P 500),2,2024-03-29,-13.6,-20.5,13.8,Sell,8.585462178554696
COST,Consumer Staples (S&P 500),2,2024-03-29,-46.4,-49.5,-34.4,Sell,16.291341326648066
MTN,Consumer Discretionary (S&P 400),2,2024-03-29,78.0,94.8,11.0,Buy,-18.6754821874697
MMS,Industrials (S&P 400),2,2024-03-29,-38.0,-37.2,-41.1,Sell,4.670991824232234
AAPL,Information Technology (S&P 500),2,2024-03-29,-34.7,-38.5,-19.3,Sell,25.023558683520257
SWKS,Information Technology (S&P 500),2,2024-03-29,-52.2,-51.8,-54.0,Sell,-1.7978059953615133
AZO,Consumer Discretionary (S&P 500),2,2024-03-29,26.4,38.8,-23.1,Buy,-6.226897215139825
CBT,Materials (S&P 400),2,2024-03-29,-4.6,-14.2,33.6,Hold,1.623964263101841
TEL,Information Technology (S&P 500),2,2024-03-29,-48.7,-53.1,-30.9,Sell,2.8298655897966247
MKC,Consumer Staples (S&P 500),2,2024-03-29,33.2,27.2,57.0,Buy,-7.576862615411197
PSKY,Communication Services (S&P 500),3,2024-06-27,48.4,85.5,-100.0,Buy,3.315240787882682
WSO,Industrials (S&P 400),3,2024-06-27,-66.4,-58.0,-100.0,Sell,8.42461699930166
LSCC,Information Technology (S&P 400),3,2024-06-27,-11.1,-32.0,72.4,Sell,-9.299882252434422
ASTH,Health Care (S&P 600),3,2024-06-27,27.9,43.6,-34.9,Buy,36.669120910182826
AA,Materials (S&P 400),3,2024-06-27,-7.4,15.7,-100.0,Hold,-6.934041419285476
TOL,Consumer Discretionary (S&P 400),3,2024-06-27,-5.8,11.2,-74.1,Hold,30.806112925883593
MUR,Energy (S&P 400),3,2024-06-27,-17.7,-22.2,0.2,Sell,-15.764890548844543
VLO,Energy (S&P 500),3,2024-06-27,10.0,21.8,-37.0,Buy,-13.207881936494411
NEE,Utilities (S&P 500),3,2024-06-27,74.0,69.9,90.1,Buy,15.529120408566216
BIIB,Health Care (S&P 500),3,2024-06-27,30.8,63.5,-100.0,Buy,-17.335604094468398
