ticker,category,as_of_date,growth_rate,wacc,beta,revenue_growth,fcf_yield,dcf_over_price,mc_mean_over_price,mc_std_over_price,mc_prob_undervalued,net_cash_per_share_over_price,relative_vs_history_pct,momentum_6m,momentum_12m,annualized_volatility,realized_return_pct,realized_label
VZ,deep-value (telecom),2025-08-26,-0.0075079964571487245,0.07,0.0873432065029039,0.006075805753355128,0.12249942891707354,2.305623593493429,1.4679974581422024,0.4896609949969161,0.8048533872598584,-0.9476880025310448,2.88,5.11,13.84,21.61,19.54,UNDERVALUED
CVX,deep-value (energy),2025-08-26,-0.09416624381635685,0.07,0.6866888289729507,-0.017769268661794804,0.10567038380427057,1.785154123084211,1.3961141208534344,0.3137555602639337,0.9053784860557769,-0.06631358340485627,25.2,3.81,11.43,24.72,35.92,UNDERVALUED
MO,deep-value (tobacco),2025-08-26,-0.005914629860937604,0.07,-0.01720692978742968,-0.0028289922934347867,0.12915270425290132,3.2539755928747653,2.384132987763372,0.516235407328383,1.0,-0.20719998516450383,3.2,25.47,36.42,19.51,7.57,UNDERVALUED
XOM,deep-value (energy),2025-08-26,-0.07753795403309338,0.07,0.5388292237994105,0.013594385369453565,0.08888658085105779,1.6598062177967203,1.2642724272135961,0.28407643791883475,0.7970443349753694,-0.03960720653023341,48.36,3.75,-0.69,23.94,53.35,UNDERVALUED
T,deep-value (telecom),2025-08-26,0.006583376742410385,0.07,0.10894556833345483,-0.0007514620838370308,0.059020263403189235,1.0310207114178889,0.580202653398088,0.2672697891133126,0.055327868852459015,-0.7031921279028732,-18.34,9.72,51.55,22.53,-7.79,OVERVALUED
PM,deep-value (tobacco),2025-08-26,0.09204264740745827,0.07,0.11222643625131755,0.076874964462387,0.03352399434078305,1.378234041495565,0.9813624888290635,0.29910517998423014,0.4459591041869523,-0.16584712153919812,41.57,9.49,44.17,27.19,19.06,UNDERVALUED
F,deep-value (auto),2025-08-26,0.08185637002451607,0.07,0.8642464025732048,0.04995147311724209,0.1543352099075267,3.4777064920343363,1.7620912002498845,1.1370645090746945,0.7247524752475247,-3.076204529250667,-40.24,28.55,13.07,32.06,23.67,UNDERVALUED
HAL,deep-value (energy services),2025-08-26,0.06320899242836031,0.07835584472970655,1.2408488029472027,-0.0032148753149708925,0.11787226510738834,3.29941497517191,2.8480168781881074,0.7616182403608751,1.0,-0.3223929470620567,-44.28,-14.27,-29.26,40.78,66.9,UNDERVALUED
NEM,deep-value (mining),2025-08-26,0.25217393838400404,0.07,0.5129445073431769,0.5816119200812733,0.029654882531601562,2.680852579279957,1.8682657392296877,0.6115740754584408,0.9283639883833494,-0.06627588501263287,-87.18,67.97,42.19,38.24,78.1,UNDERVALUED
UPS,deep-value (logistics),2025-08-26,-0.047302669703886635,0.07,0.7536104804564249,0.001231337540403263,0.08850006503932262,1.459966769960085,1.0338227495040997,0.27215983350702,0.5120967741935484,-0.2788284928929734,-17.96,-22.51,-27.32,31.73,24.99,UNDERVALUED
